gene name,description,gene id,protein id,number of domains,domains[count],paralogous family ID,members of paralogous family ,representative family member,"paralog [ % identity representative member:paralog , % identity paralog: representative member]",consensus RNA target,putative RNA target,supporting evidence (# pubmed ID),category in Baltz et al.,category in Castello et al.,found in both human mass spec,human cell lines mass spec,category in Kwon et al. mouse mESC,Toronto RBPDB,GO RNA related category,GO RNA related category description,GO general category,GO general category description,OMIM
AGO2,"eukaryotic translation initiation factor 2C, 2 [Source:HGNC Symbol;Acc:3263]",ENSG00000123908,ENSP00000220592,3,"DUF1785[1],PAZ[1],Piwi[1]",family-516,"AGO1,AGO2,AGO3,AGO4",AGO1,"AGO2[82,82],AGO3[85,84],AGO4[84,83]",ncRNA,miRNA/mRNA,established RBP ,translationfactor,RNAbinding,1,1,1,.,"GO:0003729,GO:0004521,GO:0000932,GO:0031047,GO:0060213,GO:1900153,GO:0006379,GO:0003743,GO:0035197,GO:0035198,GO:0000340,GO:0070551,GO:0030529,GO:0005845,GO:0035068,GO:0006412,GO:0031054,GO:0006413,GO:0035279,GO:0003723","mRNA binding,endoribonuclease activity,cytoplasmic mRNA processing body,gene silencing by RNA,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,mRNA cleavage,translation initiation factor activity,siRNA binding,miRNA binding,RNA 7-methylguanosine cap binding,endoribonuclease activity, cleaving siRNA-paired mRNA,ribonucleoprotein complex,mRNA cap binding complex,micro-ribonucleoprotein complex,translation,pre-miRNA processing,translational initiation,mRNA cleavage involved in gene silencing by miRNA,RNA binding","GO:0005515,GO:0003729,GO:0004521,GO:0000932,GO:0031047,GO:0060213,GO:1900153,GO:0009791,GO:0006379,GO:0003676,GO:0046872,GO:0003743,GO:0035197,GO:0035198,GO:0000340,GO:0070551,GO:0005634,GO:0005737,GO:0005829,GO:0030529,GO:0005845,GO:0005844,GO:0016442,GO:0035068,GO:0006351,GO:0038095,GO:0045087,GO:0006412,GO:0006355,GO:0048015,GO:0010467,GO:0007219,GO:0008543,GO:0007173,GO:0031054,GO:0048011,GO:0045947,GO:0035278,GO:0006413,GO:0035279,GO:0003723","protein binding,mRNA binding,endoribonuclease activity,cytoplasmic mRNA processing body,gene silencing by RNA,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,post-embryonic development,mRNA cleavage,nucleic acid binding,metal ion binding,translation initiation factor activity,siRNA binding,miRNA binding,RNA 7-methylguanosine cap binding,endoribonuclease activity, cleaving siRNA-paired mRNA,nucleus,cytoplasm,cytosol,ribonucleoprotein complex,mRNA cap binding complex,polysome,RISC complex,micro-ribonucleoprotein complex,transcription, DNA-templated,Fc-epsilon receptor signaling pathway,innate immune response,translation,regulation of transcription, DNA-dependent,phosphatidylinositol-mediated signaling,gene expression,Notch signaling pathway,fibroblast growth factor receptor signaling pathway,epidermal growth factor receptor signaling pathway,pre-miRNA processing,neurotrophin TRK receptor signaling pathway,negative regulation of translational initiation,negative regulation of translation involved in gene silencing by miRNA,translational initiation,mRNA cleavage involved in gene silencing by miRNA,RNA binding",.
AGO3,"eukaryotic translation initiation factor 2C, 3 [Source:HGNC Symbol;Acc:18421]",ENSG00000126070,ENSP00000362287,3,"DUF1785[1],PAZ[1],Piwi[1]",family-516,"AGO1,AGO2,AGO3,AGO4",AGO1,"AGO2[82,82],AGO3[85,84],AGO4[84,83]",ncRNA,miRNA/mRNA,established RBP ,translationfactor,experimentally validated,1,1,.,.,"GO:0003743,GO:0035198,GO:0000932,GO:0035068,GO:0006402,GO:0003723","translation initiation factor activity,miRNA binding,cytoplasmic mRNA processing body,micro-ribonucleoprotein complex,mRNA catabolic process,RNA binding","GO:0005515,GO:0003743,GO:0003676,GO:0035198,GO:0005829,GO:0000932,GO:0016442,GO:0035068,GO:0038095,GO:0045087,GO:0048015,GO:0010467,GO:0007219,GO:0008543,GO:0006402,GO:0007173,GO:0048011,GO:0035278,GO:0072091,GO:0003723","protein binding,translation initiation factor activity,nucleic acid binding,miRNA binding,cytosol,cytoplasmic mRNA processing body,RISC complex,micro-ribonucleoprotein complex,Fc-epsilon receptor signaling pathway,innate immune response,phosphatidylinositol-mediated signaling,gene expression,Notch signaling pathway,fibroblast growth factor receptor signaling pathway,mRNA catabolic process,epidermal growth factor receptor signaling pathway,neurotrophin TRK receptor signaling pathway,negative regulation of translation involved in gene silencing by miRNA,regulation of stem cell proliferation,RNA binding",.
AGO4,"eukaryotic translation initiation factor 2C, 4 [Source:HGNC Symbol;Acc:18424]",ENSG00000134698,ENSP00000362306,3,"DUF1785[1],PAZ[1],Piwi[1]",family-516,"AGO1,AGO2,AGO3,AGO4",AGO1,"AGO2[82,82],AGO3[85,84],AGO4[84,83]",ncRNA,miRNA/mRNA,established RBP ,.,.,.,.,.,.,"GO:0003723,GO:0035198,GO:0000932,GO:0035068,GO:0006402","RNA binding,miRNA binding,cytoplasmic mRNA processing body,micro-ribonucleoprotein complex,mRNA catabolic process","GO:0003723,GO:0005515,GO:0003676,GO:0035198,GO:0005829,GO:0000932,GO:0016442,GO:0035068,GO:0038095,GO:0045087,GO:0048015,GO:0010467,GO:0007219,GO:0008543,GO:0006402,GO:0007173,GO:0048011,GO:0035278","RNA binding,protein binding,nucleic acid binding,miRNA binding,cytosol,cytoplasmic mRNA processing body,RISC complex,micro-ribonucleoprotein complex,Fc-epsilon receptor signaling pathway,innate immune response,phosphatidylinositol-mediated signaling,gene expression,Notch signaling pathway,fibroblast growth factor receptor signaling pathway,mRNA catabolic process,epidermal growth factor receptor signaling pathway,neurotrophin TRK receptor signaling pathway,negative regulation of translation involved in gene silencing by miRNA",.
AIMP1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:10648],ENSG00000164022,ENSP00000350699,2,"tRNA_bind[1],NUDE_C[1]",family-751,AIMP1,.,.,tRNA,putative tRNA,"The protein encoded by this gene is a cytokine that is specifically induced by apoptosis, and it is involved in the control of angiogenesis, inflammation, and wound healing. The release of this cytokine renders the tumor-associated vasculature sensitive to tumor necrosis factor. The precursor protein is identical to the p43 subunit, which is associated with the multi-tRNA synthetase complex, and it modulates aminoacylation activity of tRNA synthetase in normal cells. This protein is also involved in the stimulation of inflammatory responses after proteolytic cleavage in tumor cells. Multiple transcript variants encoding different isoforms have been found for this gene. A pseudogene has been identified on chromosome 20. [provided by RefSeq, Dec 2008]",.,.,.,.,.,.,"GO:0000049,GO:0017101,GO:0006418","tRNA binding,aminoacyl-tRNA synthetase multienzyme complex,tRNA aminoacylation for protein translation","GO:0005515,GO:0042803,GO:0000049,GO:0005125,GO:0005634,GO:0016020,GO:0005829,GO:0005615,GO:0005783,GO:0009986,GO:0005794,GO:0017101,GO:0030133,GO:0006915,GO:0006954,GO:0001525,GO:0007155,GO:0007165,GO:0009611,GO:0010467,GO:0016192,GO:0006006,GO:0007267,GO:0006935,GO:0006418,GO:0050900,GO:0001937","protein binding,protein homodimerization activity,tRNA binding,cytokine activity,nucleus,membrane,cytosol,extracellular space,endoplasmic reticulum,cell surface,Golgi apparatus,aminoacyl-tRNA synthetase multienzyme complex,transport vesicle,apoptotic process,inflammatory response,angiogenesis,cell adhesion,signal transduction,response to wounding,gene expression,vesicle-mediated transport,glucose metabolic process,cell-cell signaling,chemotaxis,tRNA aminoacylation for protein translation,leukocyte migration,negative regulation of endothelial cell proliferation"," LEUKODYSTROPHY, HYPOMYELINATING, 3; HLD3"
AIMP2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:20609],ENSG00000106305,ENSP00000223029,1,GST_C_3[1],family-493,AIMP2,.,.,tRNA,putative tRNA,established RBP ,.,.,.,.,.,.,GO:0006418,tRNA aminoacylation for protein translation,"GO:0005634,GO:0008285,GO:0031398,GO:0060510,GO:0005515,GO:0005829,GO:0006915,GO:0010467,GO:0006418","nucleus,negative regulation of cell proliferation,positive regulation of protein ubiquitination,Type II pneumocyte differentiation,protein binding,cytosol,apoptotic process,gene expression,tRNA aminoacylation for protein translation",.
AKAP1,A kinase (PRKA) anchor protein 1 [Source:HGNC Symbol;Acc:367],ENSG00000121057,ENSP00000459895,3,"TUDOR[1],KH_1[1],DUF3552[1]",family-658,AKAP1,.,.,mRNA,mRNA,23077346,RNAbinding,experimentally validated,1,1,1,1,GO:0003723,RNA binding,"GO:0003723,GO:0005515,GO:0016021,GO:0005739,GO:0005829,GO:0005741,GO:0007596","RNA binding,protein binding,integral to membrane,mitochondrion,cytosol,mitochondrial outer membrane,blood coagulation",.
AKAP17A,A kinase (PRKA) anchor protein 17A [Source:HGNC Symbol;Acc:18783],ENSG00000197976,ENSP00000324827,.,.,family-483,AKAP17A,.,.,mRNA,putative mRNA,19840947,RNAbinding,.,.,1,.,.,"GO:0003723,GO:0005681,GO:0006397,GO:0008380,GO:0043484","RNA binding,spliceosomal complex,mRNA processing,RNA splicing,regulation of RNA splicing","GO:0000166,GO:0003723,GO:0005515,GO:0051018,GO:0005634,GO:0005681,GO:0016607,GO:0006355,GO:0007165,GO:0006397,GO:0008380,GO:0043484,GO:0042113","nucleotide binding,RNA binding,protein binding,protein kinase A binding,nucleus,spliceosomal complex,nuclear speck,regulation of transcription, DNA-dependent,signal transduction,mRNA processing,RNA splicing,regulation of RNA splicing,B cell activation",.
AKAP8,A kinase (PRKA) anchor protein 8 [Source:HGNC Symbol;Acc:378],ENSG00000105127,ENSP00000269701,1,AKAP95[1],family-1044,"AKAP8,ZNF326,AKAP8L",AKAP8,"ZNF326[21,25],AKAP8L[28,30]",mRNA,putative mRNA,"22658674, 22681889",candidate mRNA binder,novel,1,1,1,.,.,.,"GO:0005515,GO:0008270,GO:0003677,GO:0003690,GO:0034237,GO:0005634,GO:0016363,GO:0005739,GO:0005794,GO:0000793,GO:0001939,GO:0007067,GO:0007165,GO:0007076","protein binding,zinc ion binding,DNA binding,double-stranded DNA binding,protein kinase A regulatory subunit binding,nucleus,nuclear matrix,mitochondrion,Golgi apparatus,condensed chromosome,female pronucleus,mitosis,signal transduction,mitotic chromosome condensation",.
AKAP8L,A kinase (PRKA) anchor protein 8-like [Source:HGNC Symbol;Acc:29857],ENSG00000011243,ENSP00000470952,1,AKAP95[1],family-1044,"AKAP8,ZNF326,AKAP8L",AKAP8,"ZNF326[21,25],AKAP8L[28,30]",mRNA,putative mRNA,"22658674, 22681889",helicase,novel,1,1,.,.,GO:0017151,DEAD/H-box RNA helicase binding,"GO:0003677,GO:0005634,GO:0005515,GO:0046872,GO:0017151,GO:0005737,GO:0016363","DNA binding,nucleus,protein binding,metal ion binding,DEAD/H-box RNA helicase binding,cytoplasm,nuclear matrix",.
ALKBH1,"alkB, alkylation repair homolog 1 (E. coli) [Source:HGNC Symbol;Acc:17911]",ENSG00000100601,ENSP00000216489,1,2OG-FeII_Oxy_2[1],family-79,ALKBH1,.,.,mRNA,putative mRNA/tRNA,"15469826 ,18603530",.,.,.,.,.,.,GO:0042245,RNA repair,"GO:0005515,GO:0070579,GO:0042056,GO:0003906,GO:0008198,GO:0005739,GO:0005719,GO:0010468,GO:0030154,GO:0050918,GO:0001890,GO:0001764,GO:0055114,GO:0006281,GO:0001701,GO:0048589,GO:0043524,GO:0042245,GO:0031175,GO:0080111,GO:0070989,GO:0006307","protein binding,methylcytosine dioxygenase activity,chemoattractant activity,DNA-(apurinic or apyrimidinic site) lyase activity,ferrous iron binding,mitochondrion,nuclear euchromatin,regulation of gene expression,cell differentiation,positive chemotaxis,placenta development,neuron migration,oxidation-reduction process,DNA repair,in utero embryonic development,developmental growth,negative regulation of neuron apoptotic process,RNA repair,neuron projection development,DNA demethylation,oxidative demethylation,DNA dealkylation involved in DNA repair",.
ALKBH5,"alkB, alkylation repair homolog 5 (E. coli) [Source:HGNC Symbol;Acc:25996]",ENSG00000091542,ENSP00000382091,1,2OG-FeII_Oxy_2[1],family-890,ALKBH5,.,.,mRNA,mRNA,23177736,candidate mRNA binder,novel,1,1,.,.,"GO:0035515,GO:0006397,GO:0035553,GO:0006406","oxidative RNA demethylase activity,mRNA processing,oxidative single-stranded RNA demethylation,mRNA export from nucleus","GO:0046872,GO:0016706,GO:0035515,GO:0005634,GO:0016607,GO:0030154,GO:0007283,GO:0001666,GO:0006397,GO:0035553,GO:0006406","metal ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors,oxidative RNA demethylase activity,nucleus,nuclear speck,cell differentiation,spermatogenesis,response to hypoxia,mRNA processing,oxidative single-stranded RNA demethylation,mRNA export from nucleus",.
ALKBH8,"alkB, alkylation repair homolog 8 (E. coli) [Source:HGNC Symbol;Acc:25189]",ENSG00000137760,ENSP00000415885,4,"Methyltransf_11[1],2OG-FeII_Oxy_2[1],RRM_1[1],DUF1891[1]",family-1005,"ALKBH8,KIAA1456",ALKBH8,"KIAA1456[17,25]",tRNA,tRNA,"20123966, 21285950",.,.,.,.,.,1,"GO:0003723,GO:0016300,GO:0030488","RNA binding,tRNA (uracil) methyltransferase activity,tRNA methylation","GO:0000166,GO:0003676,GO:0016706,GO:0008168,GO:0055114,GO:0003723,GO:0005515,GO:0016491,GO:0046872,GO:0016300,GO:0005634,GO:0005737,GO:0005829,GO:0015630,GO:0006974,GO:0008152,GO:0030488","nucleotide binding,nucleic acid binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors,methyltransferase activity,oxidation-reduction process,RNA binding,protein binding,oxidoreductase activity,metal ion binding,tRNA (uracil) methyltransferase activity,nucleus,cytoplasm,cytosol,microtubule cytoskeleton,cellular response to DNA damage stimulus,metabolic process,tRNA methylation",.
ALYREF,Aly/REF export factor [Source:HGNC Symbol;Acc:19071],ENSG00000183684,ENSP00000421592,3,"FoP_duplication[1],RRM_1[1],FYTT[1]",family-275,ALYREF,.,.,mRNA,mRNA,17190602,RNAbinding,experimentally validated,1,1,1,1,"GO:0003723,GO:0071013,GO:0008380,GO:0000398,GO:0006406,GO:0031124","RNA binding,catalytic step 2 spliceosome,RNA splicing,mRNA splicing, via spliceosome,mRNA export from nucleus,mRNA 3'-end processing","GO:0000166,GO:0003723,GO:0005515,GO:0003676,GO:0005634,GO:0005829,GO:0005654,GO:0016607,GO:0035145,GO:0071013,GO:0000346,GO:0006366,GO:0010467,GO:0008380,GO:0000398,GO:0031297,GO:0006406,GO:0031124,GO:0019048,GO:0032786,GO:0006369,GO:0000018,GO:0046784","nucleotide binding,RNA binding,protein binding,nucleic acid binding,nucleus,cytosol,nucleoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome,transcription export complex,transcription from RNA polymerase II promoter,gene expression,RNA splicing,mRNA splicing, via spliceosome,replication fork processing,mRNA export from nucleus,mRNA 3'-end processing,modulation by virus of host morphology or physiology,positive regulation of DNA-dependent transcription, elongation,termination of RNA polymerase II transcription,regulation of DNA recombination,viral mRNA export from host cell nucleus",.
ANG,"angiogenin, ribonuclease, RNase A family, 5 [Source:HGNC Symbol;Acc:483]",ENSG00000214274,ENSP00000336762,1,RnaseA[1],family-443,"ANG,RNASE7,RNASE6,RNASE8,RNASE3,RNASE4,RNASE1,RNASE2",ANG,"RNASE7[31,29],RNASE6[28,27],RNASE8[28,27],RNASE3[29,27],RNASE4[41,41],RNASE1[37,35],RNASE2[27,24]",diverse,diverse,established RBP ,.,.,.,.,.,.,"GO:0019843,GO:0004540,GO:0009303","rRNA binding,ribonuclease activity,rRNA transcription","GO:0005515,GO:0003677,GO:0004519,GO:0008201,GO:0003779,GO:0005507,GO:0005102,GO:0042277,GO:0019843,GO:0004540,GO:0016892,GO:0005634,GO:0005615,GO:0005730,GO:0043025,GO:0030426,GO:0005605,GO:0032311,GO:0001890,GO:0007154,GO:0001525,GO:0001666,GO:0001938,GO:0001541,GO:0001556,GO:0009725,GO:0048662,GO:0016477,GO:0030041,GO:0008219,GO:0017148,GO:0050714,GO:0032148,GO:0009303,GO:0007202,GO:0042592,GO:0042327,GO:0006651,GO:0032431","protein binding,DNA binding,endonuclease activity,heparin binding,actin binding,copper ion binding,receptor binding,peptide binding,rRNA binding,ribonuclease activity,endoribonuclease activity, producing 3'-phosphomonoesters,nucleus,extracellular space,nucleolus,neuronal cell body,growth cone,basal lamina,angiogenin-PRI complex,placenta development,cell communication,angiogenesis,response to hypoxia,positive regulation of endothelial cell proliferation,ovarian follicle development,oocyte maturation,response to hormone,negative regulation of smooth muscle cell proliferation,cell migration,actin filament polymerization,cell death,negative regulation of translation,positive regulation of protein secretion,activation of protein kinase B activity,rRNA transcription,activation of phospholipase C activity,homeostatic process,positive regulation of phosphorylation,diacylglycerol biosynthetic process,activation of phospholipase A2 activity", AMYOTROPHIC LATERAL SCLEROSIS 9; ALS9
ANGEL1,angel homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19961],ENSG00000013523,ENSP00000451534,1,Exo_endo_phos[1],family-892,"ANGEL1,ANGEL2,CCRN4L,CNOT6,CNOT6L,PDE12",ANGEL1,"ANGEL2[33,41],CCRN4L[16,25],CNOT6[17,21],CNOT6L[17,21],PDE12[17,19]",mRNA,putative mRNA,by homology,.,.,.,.,.,.,.,.,.,.,.
ANGEL2,angel homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:30534],ENSG00000174606,ENSP00000438141,1,Exo_endo_phos[1],family-892,"ANGEL1,ANGEL2,CCRN4L,CNOT6,CNOT6L,PDE12",ANGEL1,"ANGEL2[33,41],CCRN4L[16,25],CNOT6[17,21],CNOT6L[17,21],PDE12[17,19]",mRNA,putative mRNA,by homology,.,.,.,.,.,.,.,.,.,.,.
ANKHD1,ankyrin repeat and KH domain containing 1 [Source:HGNC Symbol;Acc:24714],ENSG00000131503,ENSP00000354085,12,"Ank_2[6],Ank[1],KH_1[1],Ank_4[4]",family-50,"ANKHD1,ANKRD17",ANKHD1,"ANKRD17[60,60]",unknown,unknown,established RBP ,RNAbinding,RNAbinding,1,1,.,1,GO:0003723,RNA binding,"GO:0003723,GO:0005515,GO:0005634,GO:0005737","RNA binding,protein binding,nucleus,cytoplasm",.
ANKRD17,ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:23575],ENSG00000132466,ENSP00000351416,13,"Ank_2[6],Ank[3],KH_1[1],Ank_4[3]",family-50,"ANKHD1,ANKRD17",ANKHD1,"ANKRD17[60,60]",unknown,unknown,established RBP ,.,RNAbinding,.,1,1,1,GO:0003723,RNA binding,"GO:0005515,GO:0003723,GO:0005634,GO:0005737,GO:0001955,GO:0019048,GO:0051151","protein binding,RNA binding,nucleus,cytoplasm,blood vessel maturation,modulation by virus of host morphology or physiology,negative regulation of smooth muscle cell differentiation",.
APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1 [Source:HGNC Symbol;Acc:587],ENSG00000100823,ENSP00000452137,1,Exo_endo_phos[1],family-752,"APEX1,APEX2",APEX1,"APEX2[23,14]",mRNA,mRNA/rRNA,"19401441, 19188445,11286553",nuclease,.,.,1,.,.,"GO:0004521,GO:0003723,GO:0008408,GO:0004523,GO:0005840,GO:0043488","endoribonuclease activity,RNA binding,3'-5' exonuclease activity,ribonuclease H activity,ribosome,regulation of mRNA stability","GO:0004518,GO:0006281,GO:0003677,GO:0004519,GO:0005622,GO:0032403,GO:0004521,GO:0051059,GO:0005634,GO:0005667,GO:0005739,GO:0007568,GO:0042493,GO:0070301,GO:0071375,GO:0045454,GO:0071320,GO:0014912,GO:0005813,GO:0003723,GO:0003714,GO:0005515,GO:0016491,GO:0046872,GO:0008081,GO:0003684,GO:0003713,GO:0031490,GO:0008408,GO:0004520,GO:0004844,GO:0004523,GO:0003906,GO:0004528,GO:0016890,GO:0005737,GO:0048471,GO:0005783,GO:0005730,GO:0005840,GO:0005654,GO:0016607,GO:0006351,GO:0055114,GO:0006284,GO:0006355,GO:0006310,GO:0043488,GO:0045739,GO:0080111,GO:0071417,GO:1900087,GO:0010243","nuclease activity,DNA repair,DNA binding,endonuclease activity,intracellular,protein complex binding,endoribonuclease activity,NF-kappaB binding,nucleus,transcription factor complex,mitochondrion,aging,response to drug,cellular response to hydrogen peroxide,cellular response to peptide hormone stimulus,cell redox homeostasis,cellular response to cAMP,negative regulation of smooth muscle cell migration,centrosome,RNA binding,transcription corepressor activity,protein binding,oxidoreductase activity,metal ion binding,phosphoric diester hydrolase activity,damaged DNA binding,transcription coactivator activity,chromatin DNA binding,3'-5' exonuclease activity,endodeoxyribonuclease activity,uracil DNA N-glycosylase activity,ribonuclease H activity,DNA-(apurinic or apyrimidinic site) lyase activity,phosphodiesterase I activity,site-specific endodeoxyribonuclease activity, specific for altered base,cytoplasm,perinuclear region of cytoplasm,endoplasmic reticulum,nucleolus,ribosome,nucleoplasm,nuclear speck,transcription, DNA-templated,oxidation-reduction process,base-excision repair,regulation of transcription, DNA-dependent,DNA recombination,regulation of mRNA stability,positive regulation of DNA repair,DNA demethylation,cellular response to organonitrogen compound,positive regulation of G1/S transition of mitotic cell cycle,response to organonitrogen compound",.
API5,apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:594],ENSG00000166181,ENSP00000436189,1,API5[1],family-656,API5,.,.,mRNA,putative mRNA,"22658674, 22681889",candidate mRNA binder,RNArelated,1,1,1,.,GO:0005681,spliceosomal complex,"GO:0005488,GO:0005634,GO:0005515,GO:0017134,GO:0005737,GO:0005681,GO:0006915,GO:0043066,GO:2000270","binding,nucleus,protein binding,fibroblast growth factor binding,cytoplasm,spliceosomal complex,apoptotic process,negative regulation of apoptotic process,negative regulation of fibroblast apoptotic process",.
